Group,Type,Sample,Source,CPM,UNK
A,Mouse,Organ,Liver,1038,234.73
A,Mouse,Organ,Liver,825,243.78
A,Mouse,Organ,Liver,1359,241.55
B,Mouse,Organ,Liver,31,42.87
B,Mouse,Organ,Liver,30,0
B,Mouse,Organ,Liver,32,2.54
B,Mouse,Organ,Liver,26,0
C,Mouse,Organ,Liver,20206,209.32
C,Mouse,Organ,Liver,18988,262.93
C,Mouse,Organ,Liver,20922,241.21
C,Mouse,Organ,Liver,19862,255.14
D,Mouse,Organ,Liver,2867,254.7
D,Mouse,Organ,Liver,9669,251.04
D,Mouse,Organ,Liver,8909,259.95
D,Mouse,Organ,Liver,8859,216.09
E,Mouse,Organ,Liver,16792,251.19
E,Mouse,Organ,Liver,19507,256.56
E,Mouse,Organ,Liver,15901,260.38
E,Mouse,Organ,Liver,20200,253.71
A,Mouse,Organ,ART,2516,210.97
A,Mouse,Organ,ART,982,224.42
A,Mouse,Organ,ART,724,236.27
A,Mouse,Organ,ART,2933,212.75
B,Mouse,Organ,ART,52,114.91
B,Mouse,Organ,ART,71,179.47
B,Mouse,Organ,ART,60,109.69
B,Mouse,Organ,ART,63,113.04
C,Mouse,Organ,ART,2272,235.95
C,Mouse,Organ,ART,1797,233.37
C,Mouse,Organ,ART,2058,227.95
C,Mouse,Organ,ART,1334,263.7
D,Mouse,Organ,ART,729,207.62
D,Mouse,Organ,ART,2195,261.84
D,Mouse,Organ,ART,2232,267.99
D,Mouse,Organ,ART,2584,260.09
E,Mouse,Organ,ART,1773,227.32
E,Mouse,Organ,ART,2543,241.74
E,Mouse,Organ,ART,1924,261.12
E,Mouse,Organ,ART,2330,247.5
A,Mouse,Organ,Soft,78,206.67
A,Mouse,Organ,Soft,45,143.35
A,Mouse,Organ,Soft,105,253.29
A,Mouse,Organ,Soft,32,131.85
B,Mouse,Organ,Soft,9,0
B,Mouse,Organ,Soft,10,31.28
B,Mouse,Organ,Soft,8,0
B,Mouse,Organ,Soft,16,0
C,Mouse,Organ,Soft,73,223.13
C,Mouse,Organ,Soft,75,176.66
C,Mouse,Organ,Soft,69,177.98
C,Mouse,Organ,Soft,52,250.48
D,Mouse,Organ,Soft,34,118.64
D,Mouse,Organ,Soft,59,205.7
D,Mouse,Organ,Soft,56,251.75
D,Mouse,Organ,Soft,48,171.53
E,Mouse,Organ,Soft,92,221.2
E,Mouse,Organ,Soft,92,235.32
E,Mouse,Organ,Soft,81,228.86
E,Mouse,Organ,Soft,80,244.97
A,Mouse,Organ,Skel,76,173.01
A,Mouse,Organ,Skel,30,0
A,Mouse,Organ,Skel,109,129.85
A,Mouse,Organ,Skel,45,40.4
B,Mouse,Organ,Skel,1,0
B,Mouse,Organ,Skel,9,0
B,Mouse,Organ,Skel,4,0
B,Mouse,Organ,Skel,1,0
C,Mouse,Organ,Skel,385,202.51
C,Mouse,Organ,Skel,425,182.74
C,Mouse,Organ,Skel,363,191.6
C,Mouse,Organ,Skel,460,194.92
D,Mouse,Organ,Skel,83,112.11
D,Mouse,Organ,Skel,338,187.94
D,Mouse,Organ,Skel,289,173.5
D,Mouse,Organ,Skel,250,175.12
E,Mouse,Organ,Skel,522,214.7
E,Mouse,Organ,Skel,425,214.26
E,Mouse,Organ,Skel,439,203.52
E,Mouse,Organ,Skel,402,197.33
Background,Background,Background,Background,24,700.29
F,Mouse,Organ,Thymus,13,0
F,Mouse,Organ,Thymus,53,151.71
F,Mouse,Organ,Thymus,13,0
F,Mouse,Organ,Thymus,31,25.66
G,Mouse,Organ,Thymus,22,0
G,Mouse,Organ,Thymus,53,93.7
G,Mouse,Organ,Thymus,52,160.18
G,Mouse,Organ,Thymus,12,26.25
H,Mouse,Organ,Thymus,12,0
H,Mouse,Organ,Thymus,23,53.8
H,Mouse,Organ,Thymus,8,0
H,Mouse,Organ,Thymus,59,104.62
I,Mouse,Organ,Thymus,12,264.29
I,Mouse,Organ,Thymus,45,149.21
I,Mouse,Organ,Thymus,16,0
I,Mouse,Organ,Thymus,63,176.57
J,Mouse,Organ,Thymus,15,45.12
J,Mouse,Organ,Thymus,19,0
J,Mouse,Organ,Thymus,10,0
J,Mouse,Organ,Thymus,10,0
F,Mouse,Organ,Heart,26,37.46
F,Mouse,Organ,Heart,65,155.8
F,Mouse,Organ,Heart,31,87.17
F,Mouse,Organ,Heart,54,132.9
G,Mouse,Organ,Heart,44,35.09
